genome1,genome2,chr1,chr2,blkID,startBp1,endBp1,startOrd1,endOrd1,firstGene1,lastGene1,nHits1,minBp2,maxBp2,minOrd2,maxOrd2,minGene2,maxGene2,nHits2,orient,startBp2,endBp2,startOrd2,endOrd2,firstGene2,lastGene2,refChr,refGenome
Exophiala_lecanii_corni,Exophiala_mesophila,CP034370.1,KN847524.1,Exophiala_mesophila_vs_Exophiala_lecanii_corni: 69_1,1034545,1798636,318,544,2_317,2_543,70,886133,1585849,7179,7384,3_7178,3_7383,70,+,886133,1585849,7179,7384,3_7178,3_7383,contig_1,Exophiala_crusticola
Exophiala_lecanii_corni,Exophiala_mesophila,CP034370.1,KN847524.1,Exophiala_mesophila_vs_Exophiala_lecanii_corni: 74_1,2696093,3244915,827,983,2_826,2_982,70,2155600,2653073,7581,7727,3_7580,3_7726,70,+,2155600,2653073,7581,7727,3_7580,3_7726,contig_1,Exophiala_crusticola
Exophiala_lecanii_corni,Exophiala_mesophila,CP034370.1,KN847524.1,Exophiala_mesophila_vs_Exophiala_lecanii_corni: 76_1,2450963,2487521,756,768,2_755,2_767,8,2896812,2933011,7808,7821,3_7807,3_7820,8,+,2896812,2933011,7808,7821,3_7807,3_7820,contig_1,Exophiala_crusticola
Exophiala_lecanii_corni,Exophiala_mesophila,CP034370.1,KN847524.1,Exophiala_mesophila_vs_Exophiala_lecanii_corni: 78_1,3398103,3775553,1029,1146,2_1028,2_1145,50,3134469,3425524,7872,7978,3_7871,3_7977,50,+,3134469,3425524,7872,7978,3_7871,3_7977,contig_1,Exophiala_crusticola
Exophiala_lecanii_corni,Exophiala_mesophila,CP034370.1,KN847524.1,Exophiala_mesophila_vs_Exophiala_lecanii_corni: 69_1,264629,1939295,72,593,2_71,2_592,140,92865,1741174,6912,7445,3_6911,3_7444,140,+,92865,1741174,6912,7445,3_6911,3_7444,contig_50,Exophiala_crusticola
Exophiala_lecanii_corni,Exophiala_mesophila,CP034370.1,KN847524.1,Exophiala_mesophila_vs_Exophiala_lecanii_corni: 76_1,2203358,2439125,680,751,2_679,2_750,24,2704874,2884622,7750,7805,3_7749,3_7804,24,+,2704874,2884622,7750,7805,3_7749,3_7804,contig_50,Exophiala_crusticola
Exophiala_lecanii_corni,Exophiala_mesophila,CP034370.1,KN847528.1,Exophiala_mesophila_vs_Exophiala_lecanii_corni: 94_1,58115,121508,17,40,2_16,2_39,10,41295,82019,9274,9289,3_9273,3_9288,10,+,41295,82019,9274,9289,3_9273,3_9288,contig_50,Exophiala_crusticola
Exophiala_lecanii_corni,Exophiala_mesophila,CP034371.1,KN847523.1,Exophiala_mesophila_vs_Exophiala_lecanii_corni: 51_1,159548,1789749,1260,1711,2_1259,2_1710,204,126436,1507072,5377,5806,3_5376,3_5805,204,+,126436,1507072,5377,5806,3_5376,3_5805,contig_19,Exophiala_crusticola
Exophiala_lecanii_corni,Exophiala_mesophila,CP034371.1,KN847523.1,Exophiala_mesophila_vs_Exophiala_lecanii_corni: 64_1,3115591,3145710,2119,2126,2_2118,2_2125,6,4318663,4351325,6682,6691,3_6681,3_6690,6,+,4318663,4351325,6682,6691,3_6681,3_6690,scaffold_105,Exophiala_crusticola
Exophiala_lecanii_corni,Exophiala_mesophila,CP034372.1,KN847522.1,Exophiala_mesophila_vs_Exophiala_lecanii_corni: 48_1,190424,1465675,2301,2690,2_2300,2_2689,149,2357755,3548268,4481,4863,3_4480,3_4862,149,+,2357755,3548268,4481,4863,3_4480,3_4862,contig_14,Exophiala_crusticola
Exophiala_lecanii_corni,Exophiala_mesophila,CP034372.1,KN847522.1,Exophiala_mesophila_vs_Exophiala_lecanii_corni: 50_1,2735657,2910628,3071,3127,2_3070,2_3126,18,4718011,4994938,5206,5307,3_5205,3_5306,18,+,4718011,4994938,5206,5307,3_5205,3_5306,contig_14,Exophiala_crusticola
Exophiala_lecanii_corni,Exophiala_mesophila,CP034373.1,KN847521.1,Exophiala_mesophila_vs_Exophiala_lecanii_corni: 30_1,1025386,1066332,3637,3647,2_3636,2_3646,6,2785520,2819181,2853,2864,3_2852,3_2863,6,+,2785520,2819181,2853,2864,3_2852,3_2863,contig_17,Exophiala_crusticola
Exophiala_lecanii_corni,Exophiala_mesophila,CP034373.1,KN847521.1,Exophiala_mesophila_vs_Exophiala_lecanii_corni: 35_1,1667118,2078326,3815,3946,2_3814,2_3945,64,3735300,4061856,3169,3268,3_3168,3_3267,64,+,3735300,4061856,3169,3268,3_3168,3_3267,contig_17,Exophiala_crusticola
Exophiala_lecanii_corni,Exophiala_mesophila,CP034373.1,KN847523.1,Exophiala_mesophila_vs_Exophiala_lecanii_corni: 60_1,2093918,2438108,3950,4058,2_3949,2_4057,24,3299608,3533523,6375,6451,3_6374,3_6450,24,+,3299608,3533523,6375,6451,3_6374,3_6450,contig_17,Exophiala_crusticola
Exophiala_lecanii_corni,Exophiala_mesophila,CP034373.1,KN847523.1,Exophiala_mesophila_vs_Exophiala_lecanii_corni: 53_1,420340,508151,3440,3473,2_3439,2_3472,17,2270160,2324355,6047,6068,3_6046,3_6067,17,+,2270160,2324355,6047,6068,3_6046,3_6067,contig_19,Exophiala_crusticola
Exophiala_lecanii_corni,Exophiala_mesophila,CP034373.1,KN847523.1,Exophiala_mesophila_vs_Exophiala_lecanii_corni: 55_1,360641,379667,3418,3425,2_3417,2_3424,7,2583814,2601545,6163,6169,3_6162,3_6168,7,+,2583814,2601545,6163,6169,3_6162,3_6168,contig_19,Exophiala_crusticola
Exophiala_lecanii_corni,Exophiala_mesophila,CP034373.1,KN847523.1,Exophiala_mesophila_vs_Exophiala_lecanii_corni: 57_1,85182,250350,3347,3397,2_3346,2_3396,12,2770232,2882402,6212,6240,3_6211,3_6239,12,+,2770232,2882402,6212,6240,3_6211,3_6239,contig_19,Exophiala_crusticola
Exophiala_lecanii_corni,Exophiala_mesophila,CP034374.1,KN847520.1,Exophiala_mesophila_vs_Exophiala_lecanii_corni: 16_1,521141,723043,4479,4539,2_4478,2_4538,26,4356801,4511376,1409,1459,3_1408,3_1458,26,+,4356801,4511376,1409,1459,3_1408,3_1458,contig_19,Exophiala_crusticola
