genome1,genome2,chr1,chr2,blkID,startBp1,endBp1,startOrd1,endOrd1,firstGene1,lastGene1,nHits1,minBp2,maxBp2,minOrd2,maxOrd2,minGene2,maxGene2,nHits2,orient,startBp2,endBp2,startOrd2,endOrd2,firstGene2,lastGene2,refChr,refGenome
Exophiala_lecanii_corni,Exophiala_mesophila,CP034370.1,KN847524.1,Exophiala_mesophila_vs_Exophiala_lecanii_corni: 78_1,3642814,3797697,1104,1156,2_1103,2_1155,16,3328390,3452663,7944,7990,3_7943,3_7989,16,+,3328390,3452663,7944,7990,3_7943,3_7989,BCHY01000001.1,Exophiala_alcalophila
Exophiala_lecanii_corni,Exophiala_mesophila,CP034370.1,KN847524.1,Exophiala_mesophila_vs_Exophiala_lecanii_corni: 69_1,140053,996767,44,304,2_43,2_303,106,1980,853423,6889,7166,3_6888,3_7165,106,+,1980,853423,6889,7166,3_6888,3_7165,BCHY01000004.1,Exophiala_alcalophila
Exophiala_lecanii_corni,Exophiala_mesophila,CP034370.1,KN847524.1,Exophiala_mesophila_vs_Exophiala_lecanii_corni: 69_2,1894978,1932827,578,590,2_577,2_589,8,1692206,1725361,7426,7437,3_7425,3_7436,8,+,1692206,1725361,7426,7437,3_7425,3_7436,BCHY01000004.1,Exophiala_alcalophila
Exophiala_lecanii_corni,Exophiala_mesophila,CP034370.1,KN847524.1,Exophiala_mesophila_vs_Exophiala_lecanii_corni: 74_1,2715360,3229566,833,978,2_832,2_977,35,2169864,2640681,7585,7724,3_7584,3_7723,35,+,2169864,2640681,7585,7724,3_7584,3_7723,BCHY01000004.1,Exophiala_alcalophila
Exophiala_lecanii_corni,Exophiala_mesophila,CP034370.1,KN847524.1,Exophiala_mesophila_vs_Exophiala_lecanii_corni: 78_1,3518529,3849208,1060,1170,2_1059,2_1169,35,3250152,3474214,7911,7996,3_7910,3_7995,35,+,3250152,3474214,7911,7996,3_7910,3_7995,BCHY01000004.1,Exophiala_alcalophila
Exophiala_lecanii_corni,Exophiala_mesophila,CP034370.1,KN847524.1,Exophiala_mesophila_vs_Exophiala_lecanii_corni: 69_1,396013,887139,118,269,2_117,2_268,42,201122,698822,6954,7111,3_6953,3_7110,42,+,201122,698822,6954,7111,3_6953,3_7110,BCHY01000005.1,Exophiala_alcalophila
Exophiala_lecanii_corni,Exophiala_mesophila,CP034370.1,KN847524.1,Exophiala_mesophila_vs_Exophiala_lecanii_corni: 69_2,1440343,1886184,440,575,2_439,2_574,49,1242304,1685664,7282,7422,3_7281,3_7421,49,+,1242304,1685664,7282,7422,3_7281,3_7421,BCHY01000005.1,Exophiala_alcalophila
Exophiala_lecanii_corni,Exophiala_mesophila,CP034370.1,KN847524.1,Exophiala_mesophila_vs_Exophiala_lecanii_corni: 76_1,2203358,2439125,680,751,2_679,2_750,28,2704874,2884622,7750,7805,3_7749,3_7804,28,+,2704874,2884622,7750,7805,3_7749,3_7804,BCHY01000005.1,Exophiala_alcalophila
Exophiala_lecanii_corni,Exophiala_mesophila,CP034370.1,KN847524.1,Exophiala_mesophila_vs_Exophiala_lecanii_corni: 69_1,148773,251426,46,66,2_45,2_65,8,10615,86651,6892,6909,3_6891,3_6908,8,+,10615,86651,6892,6909,3_6891,3_6908,BCHY01000006.1,Exophiala_alcalophila
Exophiala_lecanii_corni,Exophiala_mesophila,CP034370.1,KN847524.1,Exophiala_mesophila_vs_Exophiala_lecanii_corni: 69_2,1385772,1421080,430,438,2_429,2_437,6,1175222,1208946,7265,7273,3_7264,3_7272,6,+,1175222,1208946,7265,7273,3_7264,3_7272,BCHY01000006.1,Exophiala_alcalophila
Exophiala_lecanii_corni,Exophiala_mesophila,CP034370.1,KN847524.1,Exophiala_mesophila_vs_Exophiala_lecanii_corni: 78_1,3303607,3397468,999,1028,2_998,2_1027,12,3059304,3133943,7851,7871,3_7850,3_7870,12,+,3059304,3133943,7851,7871,3_7850,3_7870,BCHY01000006.1,Exophiala_alcalophila
Exophiala_lecanii_corni,Exophiala_mesophila,CP034370.1,KN847524.1,Exophiala_mesophila_vs_Exophiala_lecanii_corni: 69_1,1065021,1798636,330,544,2_329,2_543,66,910301,1585849,7187,7384,3_7186,3_7383,66,+,910301,1585849,7187,7384,3_7186,3_7383,BCHY01000007.1,Exophiala_alcalophila
Exophiala_lecanii_corni,Exophiala_mesophila,CP034370.1,KN847524.1,Exophiala_mesophila_vs_Exophiala_lecanii_corni: 74_1,2907142,3100261,881,948,2_880,2_947,26,2354345,2468277,7638,7671,3_7637,3_7670,26,+,2354345,2468277,7638,7671,3_7637,3_7670,BCHY01000007.1,Exophiala_alcalophila
Exophiala_lecanii_corni,Exophiala_mesophila,CP034370.1,KN847524.1,Exophiala_mesophila_vs_Exophiala_lecanii_corni: 78_1,3424517,3509791,1032,1056,2_1031,2_1055,14,3149496,3243316,7875,7908,3_7874,3_7907,14,+,3149496,3243316,7875,7908,3_7874,3_7907,BCHY01000007.1,Exophiala_alcalophila
Exophiala_lecanii_corni,Exophiala_mesophila,CP034371.1,KN847523.1,Exophiala_mesophila_vs_Exophiala_lecanii_corni: 64_1,3069926,3166364,2104,2134,2_2103,2_2133,13,4269000,4371455,6666,6697,3_6665,3_6696,13,+,4269000,4371455,6666,6697,3_6665,3_6696,BCHY01000001.1,Exophiala_alcalophila
Exophiala_lecanii_corni,Exophiala_mesophila,CP034371.1,KN847523.1,Exophiala_mesophila_vs_Exophiala_lecanii_corni: 51_1,87856,1803216,1241,1714,2_1240,2_1713,236,81806,1524967,5368,5810,3_5367,3_5809,236,+,81806,1524967,5368,5810,3_5367,3_5809,BCHY01000002.1,Exophiala_alcalophila
Exophiala_lecanii_corni,Exophiala_mesophila,CP034372.1,KN847522.1,Exophiala_mesophila_vs_Exophiala_lecanii_corni: 48_1,278340,1230725,2323,2627,2_2322,2_2626,52,2413611,3340324,4502,4808,3_4501,3_4807,52,+,2413611,3340324,4502,4808,3_4501,3_4807,BCHY01000002.1,Exophiala_alcalophila
Exophiala_lecanii_corni,Exophiala_mesophila,CP034372.1,KN847522.1,Exophiala_mesophila_vs_Exophiala_lecanii_corni: 48_1,188368,1395274,2300,2668,2_2299,2_2667,60,2372176,3481981,4488,4843,3_4487,3_4842,60,+,2372176,3481981,4488,4843,3_4487,3_4842,BCHY01000003.1,Exophiala_alcalophila
Exophiala_lecanii_corni,Exophiala_mesophila,CP034372.1,KN847522.1,Exophiala_mesophila_vs_Exophiala_lecanii_corni: 48_1,670758,929499,2444,2531,2_2443,2_2530,31,2690108,2925052,4588,4664,3_4587,3_4663,31,+,2690108,2925052,4588,4664,3_4587,3_4663,BCHY01000004.1,Exophiala_alcalophila
Exophiala_lecanii_corni,Exophiala_mesophila,CP034372.1,KN847522.1,Exophiala_mesophila_vs_Exophiala_lecanii_corni: 50_1,2905592,2949183,3127,3139,2_3126,2_3138,6,4989875,5038317,5307,5324,3_5306,3_5323,6,+,4989875,5038317,5307,5324,3_5306,3_5323,BCHY01000004.1,Exophiala_alcalophila
Exophiala_lecanii_corni,Exophiala_mesophila,CP034372.1,KN847522.1,Exophiala_mesophila_vs_Exophiala_lecanii_corni: 48_1,1409769,1465675,2672,2690,2_2671,2_2689,14,3493455,3548268,4846,4863,3_4845,3_4862,14,+,3493455,3548268,4846,4863,3_4845,3_4862,BCHY01000005.1,Exophiala_alcalophila
Exophiala_lecanii_corni,Exophiala_mesophila,CP034372.1,KN847522.1,Exophiala_mesophila_vs_Exophiala_lecanii_corni: 50_1,2786174,2852209,3083,3106,2_3082,2_3105,16,4844767,4902742,5253,5277,3_5252,3_5276,16,+,4844767,4902742,5253,5277,3_5252,3_5276,BCHY01000006.1,Exophiala_alcalophila
Exophiala_lecanii_corni,Exophiala_mesophila,CP034373.1,KN847521.1,Exophiala_mesophila_vs_Exophiala_lecanii_corni: 35_1,1944252,2019327,3907,3931,2_3906,2_3930,15,3955627,4013711,3238,3253,3_3237,3_3252,15,+,3955627,4013711,3238,3253,3_3237,3_3252,BCHY01000001.1,Exophiala_alcalophila
Exophiala_lecanii_corni,Exophiala_mesophila,CP034373.1,KN847521.1,Exophiala_mesophila_vs_Exophiala_lecanii_corni: 35_1,1707848,1763375,3834,3853,2_3833,2_3852,12,3766476,3809532,3180,3193,3_3179,3_3192,12,+,3766476,3809532,3180,3193,3_3179,3_3192,BCHY01000003.1,Exophiala_alcalophila
Exophiala_lecanii_corni,Exophiala_mesophila,CP034373.1,KN847521.1,Exophiala_mesophila_vs_Exophiala_lecanii_corni: 35_1,1771071,1912008,3854,3898,2_3853,2_3897,23,3815455,3924033,3196,3227,3_3195,3_3226,23,+,3815455,3924033,3196,3227,3_3195,3_3226,BCHY01000007.1,Exophiala_alcalophila
Exophiala_lecanii_corni,Exophiala_mesophila,CP034373.1,KN847523.1,Exophiala_mesophila_vs_Exophiala_lecanii_corni: 60_1,2273151,2438108,4014,4058,2_4013,2_4057,14,3426831,3533523,6414,6451,3_6413,3_6450,14,+,3426831,3533523,6414,6451,3_6413,3_6450,BCHY01000001.1,Exophiala_alcalophila
Exophiala_lecanii_corni,Exophiala_mesophila,CP034373.1,KN847523.1,Exophiala_mesophila_vs_Exophiala_lecanii_corni: 53_1,420340,526383,3440,3476,2_3439,2_3475,16,2270160,2336645,6047,6072,3_6046,3_6071,16,+,2270160,2336645,6047,6072,3_6046,3_6071,BCHY01000002.1,Exophiala_alcalophila
Exophiala_lecanii_corni,Exophiala_mesophila,CP034373.1,KN847523.1,Exophiala_mesophila_vs_Exophiala_lecanii_corni: 57_1,129292,143477,3363,3368,2_3362,2_3367,5,2800351,2812022,6219,6223,3_6218,3_6222,5,+,2800351,2812022,6219,6223,3_6218,3_6222,BCHY01000002.1,Exophiala_alcalophila
Exophiala_lecanii_corni,Exophiala_mesophila,CP034373.1,KN847523.1,Exophiala_mesophila_vs_Exophiala_lecanii_corni: 55_1,360641,373187,3418,3423,2_3417,2_3422,5,2583814,2595870,6163,6167,3_6162,3_6166,5,+,2583814,2595870,6163,6167,3_6162,3_6166,BCHY01000003.1,Exophiala_alcalophila
Exophiala_lecanii_corni,Exophiala_mesophila,CP034373.1,KN847523.1,Exophiala_mesophila_vs_Exophiala_lecanii_corni: 60_1,2091519,2205585,3949,3986,2_3948,2_3985,17,3298403,3374425,6374,6397,3_6373,3_6396,17,+,3298403,3374425,6374,6397,3_6373,3_6396,BCHY01000003.1,Exophiala_alcalophila
Exophiala_lecanii_corni,Exophiala_mesophila,CP034374.1,KN847520.1,Exophiala_mesophila_vs_Exophiala_lecanii_corni: 16_1,673597,723043,4523,4539,2_4522,2_4538,9,4464747,4511376,1443,1459,3_1442,3_1458,9,+,4464747,4511376,1443,1459,3_1442,3_1458,BCHY01000001.1,Exophiala_alcalophila
