genome1,genome2,chr1,chr2,blkID,startBp1,endBp1,startOrd1,endOrd1,firstGene1,lastGene1,nHits1,minBp2,maxBp2,minOrd2,maxOrd2,minGene2,maxGene2,nHits2,orient,startBp2,endBp2,startOrd2,endOrd2,firstGene2,lastGene2,refChr,refGenome
Exophiala_lecanii_corni,Exophiala_mesophila,CP034370.1,KN847524.1,Exophiala_mesophila_vs_Exophiala_lecanii_corni: 69_1,130656,2083135,43,640,2_42,2_639,398,40,1792192,6888,7460,3_6887,3_7459,398,+,40,1792192,6888,7460,3_6887,3_7459,KN847524.1,Exophiala_mesophila
Exophiala_lecanii_corni,Exophiala_mesophila,CP034370.1,KN847524.1,Exophiala_mesophila_vs_Exophiala_lecanii_corni: 72_1,2488263,2520538,769,778,2_768,2_777,8,1884555,1915467,7491,7500,3_7490,3_7499,8,+,1884555,1915467,7491,7500,3_7490,3_7499,KN847524.1,Exophiala_mesophila
Exophiala_lecanii_corni,Exophiala_mesophila,CP034370.1,KN847524.1,Exophiala_mesophila_vs_Exophiala_lecanii_corni: 74_1,2696093,3246966,827,984,2_826,2_983,110,2155600,2656829,7581,7729,3_7580,3_7728,110,+,2155600,2656829,7581,7729,3_7580,3_7728,KN847524.1,Exophiala_mesophila
Exophiala_lecanii_corni,Exophiala_mesophila,CP034370.1,KN847524.1,Exophiala_mesophila_vs_Exophiala_lecanii_corni: 76_1,2198873,2487521,678,768,2_677,2_767,57,2700333,2933011,7749,7821,3_7748,3_7820,57,+,2700333,2933011,7749,7821,3_7748,3_7820,KN847524.1,Exophiala_mesophila
Exophiala_lecanii_corni,Exophiala_mesophila,CP034370.1,KN847524.1,Exophiala_mesophila_vs_Exophiala_lecanii_corni: 78_1,3252001,3927951,987,1201,2_986,2_1200,129,3016734,3531423,7840,8009,3_7839,3_8008,129,+,3016734,3531423,7840,8009,3_7839,3_8008,KN847524.1,Exophiala_mesophila
Exophiala_lecanii_corni,Exophiala_mesophila,CP034370.1,KN847526.1,Exophiala_mesophila_vs_Exophiala_lecanii_corni: 92_1,3014094,3031604,914,921,2_913,2_920,7,59295,77653,9013,9021,3_9012,3_9020,7,+,59295,77653,9013,9021,3_9012,3_9020,KN847526.1,Exophiala_mesophila
Exophiala_lecanii_corni,Exophiala_mesophila,CP034370.1,KN847528.1,Exophiala_mesophila_vs_Exophiala_lecanii_corni: 94_1,31485,127217,7,42,2_6,2_41,25,18626,87321,9264,9291,3_9263,3_9290,25,+,18626,87321,9264,9291,3_9263,3_9290,KN847528.1,Exophiala_mesophila
Exophiala_lecanii_corni,Exophiala_mesophila,CP034371.1,KN847523.1,Exophiala_mesophila_vs_Exophiala_lecanii_corni: 51_1,20513,1827721,1222,1720,2_1221,2_1719,342,21699,1542129,5349,5813,3_5348,3_5812,342,+,21699,1542129,5349,5813,3_5348,3_5812,KN847523.1,Exophiala_mesophila
Exophiala_lecanii_corni,Exophiala_mesophila,CP034371.1,KN847523.1,Exophiala_mesophila_vs_Exophiala_lecanii_corni: 64_1,3043426,3188409,2095,2141,2_2094,2_2140,35,4239228,4383656,6657,6702,3_6656,3_6701,35,+,4239228,4383656,6657,6702,3_6656,3_6701,KN847523.1,Exophiala_mesophila
Exophiala_lecanii_corni,Exophiala_mesophila,CP034372.1,KN847522.1,Exophiala_mesophila_vs_Exophiala_lecanii_corni: 48_1,183952,1498115,2298,2697,2_2297,2_2696,241,2357755,3578294,4481,4870,3_4480,3_4869,241,+,2357755,3578294,4481,4870,3_4480,3_4869,KN847522.1,Exophiala_mesophila
